,City,Latitude,Longitude,Max_Temp,Humidity,Cloudiness,Windspeed,Country
0,vila,42.03,-8.16,62.99600000000005,87.0,0.0,3.1,PT
1,rikitea,-23.12,-134.97,67.26200000000006,59.0,44.0,6.2,PF
2,batticaloa,7.71,81.69,81.57200000000003,76.0,87.0,1.38,LK
3,hervey bay,-25.3,152.85,64.00400000000005,95.0,71.0,2.68,AU
4,attawapiskat,0.0,0.0,0.0,0.0,0.0,0.0,
5,ribeira grande,38.52,-28.7,69.40400000000005,71.0,13.0,2.6,PT
6,vaini,-21.2,-175.2,75.2,88.0,20.0,4.6,TO
7,busselton,-33.65,115.33,57.00200000000008,74.0,41.0,3.99,AU
8,yellowknife,62.46,-114.35,60.008,82.0,75.0,7.7,CA
9,atuona,-9.8,-139.03,79.484,76.0,32.0,8.31,PF
10,taolanaro,0.0,0.0,0.0,0.0,0.0,0.0,
11,bilibino,68.05,166.44,81.12200000000004,39.0,59.0,6.43,RU
12,tezpur,26.63,92.8,80.06000000000009,91.0,97.0,2.53,IN
13,tomatlan,19.93,-105.25,78.51200000000006,81.0,100.0,0.33,MX
14,punta arenas,-53.15,-70.92,39.2,80.0,100.0,9.8,CL
15,ostrovnoy,68.05,39.51,60.40400000000005,84.0,98.0,3.98,RU
16,port alfred,-33.59,26.89,62.20400000000005,35.0,0.0,3.88,ZA
17,bargal,0.0,0.0,0.0,0.0,0.0,0.0,
18,ushuaia,-54.8,-68.3,39.2,87.0,40.0,7.2,AR
19,pangkalanbuun,-2.68,111.62,80.47400000000002,88.0,19.0,1.88,ID
20,shelburne,44.08,-80.2,66.2,82.0,1.0,2.1,CA
21,okhotsk,59.38,143.3,64.09400000000008,67.0,100.0,3.83,RU
22,saint paul,44.94,-93.09,77.0,61.0,1.0,3.6,US
23,hobart,-42.88,147.33,51.008,61.0,75.0,3.6,AU
24,mackay,-21.15,149.2,69.8,68.0,99.0,6.2,AU
25,karratha,-20.74,116.85,76.04600000000005,37.0,0.0,5.29,AU
26,aklavik,68.22,-135.01,64.4,39.0,20.0,5.7,CA
27,hilo,19.73,-155.09,84.2,58.0,75.0,4.6,US
28,saint-philippe,-21.36,55.77,66.2,59.0,90.0,8.2,RE
29,cape town,-33.93,18.42,53.6,71.0,0.0,2.6,ZA
30,chuy,-33.7,-53.46,65.04800000000003,94.0,92.0,2.56,UY
31,ancud,-41.87,-73.82,42.008,86.0,75.0,1.0,CL
32,necochea,-38.55,-58.74,46.99400000000007,33.0,90.0,4.92,AR
33,gobabis,-22.45,18.97,42.8,41.0,0.0,1.0,NA
34,upernavik,72.79,-56.15,45.28399999999999,78.0,40.0,4.33,GL
35,voskresenskoye,56.84,45.43,51.44000000000002,96.0,11.0,2.7,RU
36,bullhead city,35.15,-114.57,104.0,12.0,1.0,7.7,US
37,mataura,-46.19,168.86,44.096000000000046,70.0,100.0,4.08,NZ
38,kununurra,-15.77,128.73,80.6,22.0,0.0,5.1,AU
39,gigmoto,13.78,124.39,87.92600000000009,62.0,95.0,2.13,PH
40,kamenka,51.32,42.77,53.00600000000003,80.0,100.0,2.13,RU
41,kapaa,22.08,-159.32,84.2,70.0,40.0,5.7,US
42,pervomayskiy,53.25,40.29,51.854000000000056,86.0,94.0,1.78,RU
43,barawe,0.0,0.0,0.0,0.0,0.0,0.0,
44,channel-port aux basques,47.57,-59.14,60.58399999999999,95.0,99.0,5.06,CA
45,kiama,-34.68,150.87,66.00200000000008,68.0,0.0,3.13,AU
46,naryan-mar,67.67,53.09,64.16600000000001,66.0,3.0,4.35,RU
47,saint-leu,-21.15,55.28,66.2,59.0,90.0,8.2,RE
48,nizhneyansk,0.0,0.0,0.0,0.0,0.0,0.0,
49,port moresby,-9.44,147.18,82.59800000000003,70.0,1.0,5.65,PG
50,yamada,39.47,141.95,75.308,72.0,83.0,2.74,JP
51,thompson,55.74,-97.86,82.4,58.0,20.0,4.1,CA
52,albany,42.6,-73.97,75.00200000000008,97.0,30.0,2.33,US
53,puerto ayora,-0.74,-90.35,68.0,96.0,79.0,2.68,EC
54,taoudenni,22.68,-3.98,98.38399999999999,11.0,0.0,2.0,ML
55,alberton,46.82,-64.07,63.122000000000035,91.0,99.0,1.77,CA
56,maunabo,18.01,-65.9,82.00400000000005,87.0,45.0,0.45,PR
57,saint simons,31.14,-81.39,84.2,74.0,1.0,3.1,US
58,port elizabeth,-33.92,25.57,63.28399999999999,31.0,0.0,3.35,ZA
59,viedma,-40.81,-63.0,42.008,94.0,100.0,6.26,AR
60,farah,32.5,62.5,79.808,16.0,0.0,4.03,AF
61,tiksi,71.69,128.87,66.75800000000001,54.0,3.0,4.83,RU
62,amderma,0.0,0.0,0.0,0.0,0.0,0.0,
63,bluff,-46.6,168.33,46.77800000000006,71.0,100.0,11.91,NZ
64,mayo,38.89,-76.51,82.00400000000005,74.0,75.0,5.1,US
65,kavieng,-2.57,150.8,83.066,75.0,100.0,2.78,PG
66,los algarrobos,8.5,-82.43,64.00400000000005,100.0,100.0,1.46,PA
67,tolaga bay,-38.37,178.3,56.42600000000009,47.0,9.0,3.69,NZ
68,santa maria,-29.68,-53.81,69.458,65.0,100.0,3.36,BR
69,tumbi,-5.07,32.73,60.8,77.0,1.0,2.33,TZ
70,jamestown,42.1,-79.24,71.6,83.0,90.0,2.6,US
71,provideniya,64.38,-173.3,53.6,71.0,90.0,4.0,RU
72,tuktoyaktuk,69.45,-133.04,62.6,48.0,20.0,7.7,CA
73,vanimo,-2.67,141.3,87.674,58.0,0.0,3.22,PG
74,puri,19.8,85.85,80.6,94.0,75.0,1.5,IN
75,bengkulu,-3.8,102.27,78.27800000000006,82.0,97.0,1.05,ID
76,vaitupu,0.0,0.0,0.0,0.0,0.0,0.0,
77,souillac,-20.52,57.52,68.0,60.0,40.0,5.7,MU
78,san cristobal,7.77,-72.22,64.958,92.0,88.0,0.98,VE
79,illoqqortoormiut,0.0,0.0,0.0,0.0,0.0,0.0,
80,consuegra,39.46,-3.61,80.99600000000005,44.0,0.0,1.79,ES
81,mys shmidta,0.0,0.0,0.0,0.0,0.0,0.0,
82,labuhan,-6.88,112.21,79.41200000000006,73.0,100.0,3.62,ID
83,praia da vitoria,38.73,-27.07,64.4,88.0,10.0,1.67,PT
84,nuuk,64.18,-51.72,51.8,81.0,100.0,2.6,GL
85,butaritari,3.07,172.79,82.76000000000008,77.0,1.0,5.75,KI
86,tabuk,17.42,121.44,85.73000000000005,67.0,14.0,2.33,PH
87,bredasdorp,-34.53,20.04,51.8,93.0,0.0,2.6,ZA
88,mehamn,71.04,27.85,56.55200000000008,87.0,4.0,2.44,NO
